Port,Commodity,Total Exports Value ($US),Vessel Total Exports Value ($US),Vessel Total Exports SWT (kg),Air Total Exports Value ($US),Air Total Exports SWT (kg),Containerized Vessel Total Exports Value ($US),Containerized Vessel Total Exports SWT (kg)
"JFK International Airport, NY (Port)","1903 Tapioca And Substitutes From Starch In Flakes, Etc",14242,,,14242,3083,,
"JFK International Airport, NY (Port)","1904 Foods Prep By Swell Cereal; Cereal Nesoi, Grain Fm",54404,,,54404,20552,,
"JFK International Airport, NY (Port)","1905 Bread, Pastry, Cakes Etc; Comm Wafrs, Emp Caps Etc",1653453,,,1653453,498936,,
"JFK International Airport, NY (Port)","2001 Veg, Fruit, Nuts Etc, Prep Or Pres By Vinegar Etc",17540,,,17540,17042,,
"JFK International Airport, NY (Port)",2002 Tomatoes Prepared Or Preserved Nesoi,3529,,,3529,6325,,
"JFK International Airport, NY (Port)","2004 Vegetables Nesoi Prepared Or Preserv Nesoi, Frozen",52953,,,52953,24617,,
"JFK International Airport, NY (Port)","2005 Vegetables Nesoi Prepared Etc Nesoi, Not Frozen",99817,,,99817,43041,,
"JFK International Airport, NY (Port)","2007 Jams, Fruit Jellies, Marmalades Etc, Cooked",91891,,,91891,44667,,
"JFK International Airport, NY (Port)","2008 Fruit, Nuts Etc Prepared Or Preserved Nesoi",640985,,,640985,82809,,
"JFK International Airport, NY (Port)",2009 Fruit Juice Nt Frtfd W Vit/mnl Veg Juice No Spirit,623241,,,623241,242754,,
"JFK International Airport, NY (Port)","2101 Extracts Etc Of Coffee, Tea Or Mate; Roast Chicory",6058178,,,6058178,380075,,
"JFK International Airport, NY (Port)",2102 Yeasts; Dead Sing-cell Micro-org Nesoi; Bak Powder,2369378,,,2369378,474752,,
"JFK International Airport, NY (Port)","2103 Sauces & Prep; Mixed Condiments, Mustard Flour Etc",569356,,,569356,247293,,
"JFK International Airport, NY (Port)","2104 Soups, Broths & Preps; Homogenized Comp Food Preps",272638,,,272638,114010,,
"JFK International Airport, NY (Port)","2105 Ice Cream And Other Edible Ice, With Cocoa Or Not",33335,,,33335,4248,,
"JFK International Airport, NY (Port)",2106 Food Preparations Nesoi,71521968,,,71521968,4957005,,
"JFK International Airport, NY (Port)","2201 Waters, Natural Etc, Not Sweetened Etc; Ice & Snow",127821,,,127821,370224,,
"JFK International Airport, NY (Port)","2202 Waters, Sweetened Etc & Oth Nonalc Beverages Nesoi",862183,,,862183,273077,,
"JFK International Airport, NY (Port)",2203 Beer Made From Malt,8568,,,8568,6985,,
"JFK International Airport, NY (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,34967570,,,34967570,1345899,,
"JFK International Airport, NY (Port)",2205 Vermouth & Oth Wine Of Fresh Grapes Spec Flavored,1009691,,,1009691,155256,,
"JFK International Airport, NY (Port)","2206 Fermented Beverages Nesoi (cider, Perry, Mead Etc)",12364,,,12364,1087,,
"JFK International Airport, NY (Port)","2207 Ethyl Alcohol, Undenat, Nun80% Alc; Alcohol, Denat",12379,,,12379,13203,,
"JFK International Airport, NY (Port)","2208 Ethyl Alcohol, Undenat, Und80% Alc; Spirit Beverag",2148097,,,2148097,140689,,
"JFK International Airport, NY (Port)",2209 Vinegar & Substitutes For Vinegar From Acetic Acid,8348,,,8348,1559,,
"JFK International Airport, NY (Port)","2301 Flour, Meal Etc Of Meat Etc, Not For Human; Greavs",56988,,,56988,2058,,
"JFK International Airport, NY (Port)","2302 Bran, Sharps Etc From Working Cereals & Leg Plants",8750,,,8750,124,,
"JFK International Airport, NY (Port)",2303 Residues Of Starch Mfr Or Sugar Mfr Or Brewing Etc,4300,,,4300,560,,
"JFK International Airport, NY (Port)","2304 Soybean Oilcake & Oth Solid Residue, Wh/not Ground",5097,,,5097,265,,
"JFK International Airport, NY (Port)","2306 Oilcake Etc Nesoi, From Veg Fats & Oils Nesoi",3687,,,3687,75,,
"JFK International Airport, NY (Port)","2308 Veg Material, Waste Etc For Feeding Animals Nesoi",42059,,,42059,8140,,
"JFK International Airport, NY (Port)",2309 Preparations Used In Animal Feeding,4133476,,,4133476,552608,,
"JFK International Airport, NY (Port)","2401 Tobacco, Unmanufactured; Tobacco Refuse",213025,,,213025,31230,,
"JFK International Airport, NY (Port)","2402 Cigars, Cigarettes Etc., Of Tobacco Or Substitutes",1330349,,,1330349,39789,,
"JFK International Airport, NY (Port)",2403 Tobacco & Tobacco Subst Mfrs Nesoi; Tob Proces Etc,1021054,,,1021054,152304,,
"JFK International Airport, NY (Port)",4101 Raw Hides & Skins Of Bovine Or Equine Animals,353958,,,353958,29868,,
"JFK International Airport, NY (Port)",4102 Raw Skins Of Sheep Or Lambs Nesoi,102794,,,102794,26612,,
"JFK International Airport, NY (Port)",4103 Raw Hides And Skins Nesoi (fr Or Pres Not Tan Etc),1525464,,,1525464,13991,,
"JFK International Airport, NY (Port)","4104 Bovine Or Equine Leather, No Hair Nesoi",14721896,,,14721896,408240,,
"JFK International Airport, NY (Port)","4105 Sheep Or Lamb Skin Leather, No Wool Nesoi",54773,,,54773,1068,,
"JFK International Airport, NY (Port)","4106 Other Animal N Leather, No Hair Nesoi",334244,,,334244,7066,,
"JFK International Airport, NY (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",15830689,,,15830689,263808,,
"JFK International Airport, NY (Port)","4112 Sheep/lamb Ltr,ft Prp Tan/crus, W/o Wool,nt Hd4114",417193,,,417193,7263,,
"JFK International Airport, NY (Port)","4113 Lthr Fthr Perp After Tanning,of Oth Aml, W/o Wl/hr",2601293,,,2601293,144531,,
"JFK International Airport, NY (Port)",4114 Chamois/patent/patent Laminated/metallized Leather,33989,,,33989,2336,,
"JFK International Airport, NY (Port)","4115 Comps. Lthr,fbr Slb/sht/srp;lthr Wst/dust/pwd/flou",249020,,,249020,21067,,
"JFK International Airport, NY (Port)","5101 Wool, Not Carded Or Combed",14897,,,14897,8118,,
"JFK International Airport, NY (Port)","5102 Fine Or Coarse Animal Hair, Not Carded Or Combed",25167,,,25167,8885,,
"JFK International Airport, NY (Port)",5103 Waste Of Wool Or Of Fine Or Coarse Animal Hair,3170,,,3170,1788,,
"JFK International Airport, NY (Port)","5105 Wool & Fine Or Coarse Animal Hair, Carded & Combed",28569,,,28569,3352,,
"JFK International Airport, NY (Port)","5106 Yarn Of Carded Wool, Not Put Up For Retail Sale",4000,,,4000,372,,
"JFK International Airport, NY (Port)","5108 Yarn Of Fine Animal Hair, Not For Retail Sale",12789,,,12789,81,,
"JFK International Airport, NY (Port)","5109 Yarn Of Wool Or Fine Animal Hair, For Retail Sale",100665,,,100665,3394,,
"JFK International Airport, NY (Port)",5111 Woven Fabrics Of Carded Wool Or Fine Animal Hair,2367213,,,2367213,70271,,
"JFK International Airport, NY (Port)",5112 Woven Fabrics Of Combed Wool Or Fine Animal Hair,929224,,,929224,46242,,
"JFK International Airport, NY (Port)",5113 Woven Fabrics Of Coarse Animal Hair Or Horsehair,2574,,,2574,170,,
"JFK International Airport, NY (Port)","5201 Cotton, Not Carded Or Combed",52176,,,52176,8749,,
"JFK International Airport, NY (Port)",5202 Cotton Waste (including Yarn Waste Etc.),22840,,,22840,7129,,
"JFK International Airport, NY (Port)","5203 Cotton, Carded Or Combed",170245,,,170245,9729,,
"JFK International Airport, NY (Port)","5204 Cotton Sewing Thread, Retail Packed Or Not",190595,,,190595,6582,,
"JFK International Airport, NY (Port)",5205 Cotton Yarn (not Sewing Thread) Nu85%cot No Retail,93832,,,93832,5807,,
"JFK International Airport, NY (Port)",5206 Cotton Yarn (not Sewing Thread) Un85%cot No Retail,6185,,,6185,706,,
"JFK International Airport, NY (Port)",5207 Cotton Yarn (not Sewing Thread) Retail Packed,33545,,,33545,1965,,
"JFK International Airport, NY (Port)","5208 Woven Cotton Fabrics, Nu 85% Cot, Wt Nov 200 G/m2",3883520,,,3883520,163431,,
"JFK International Airport, NY (Port)","5209 Woven Cotton Fabrics, Nu 85% Cot, Wt Ov 200 G/m2",1721234,,,1721234,173896,,
"JFK International Airport, NY (Port)","5210 Woven Cotton Fabrics, Un85%cot, mmfmix, Nov200g/m2",186185,,,186185,7319,,
"JFK International Airport, NY (Port)","5211 Woven Cotton Fabrics, Un85%cot, mmfmix, Ov200g/m2",565828,,,565828,79063,,
"JFK International Airport, NY (Port)",5212 Woven Cotton Fabrics Nesoi,114760,,,114760,5556,,
"JFK International Airport, NY (Port)","5301 Flax, Raw Etc But Not Spun; Flax Tow And Waste",35536,,,35536,1144,,
"JFK International Airport, NY (Port)","5302 True Hemp, Raw Etc Not Spun; Tr Hemp Tow And Waste",11078,,,11078,283,,
"JFK International Airport, NY (Port)",5306 Flax Yarn,143373,,,143373,8683,,
"JFK International Airport, NY (Port)",5308 Yarn Of Vegetable Textile Fibers Nesoi; Paper Yarn,7309,,,7309,492,,
"JFK International Airport, NY (Port)",5309 Woven Fabrics Of Flax,492650,,,492650,11233,,
"JFK International Airport, NY (Port)",5310 Woven Fabrics Of Jute Or Oth Text Bast Fiber Nesoi,194717,,,194717,7196,,
"JFK International Airport, NY (Port)",5311 Wov Fab Of Ot Veg Textile Fib Wov Fab Of ppr Yarn,19759,,,19759,1925,,
"Morristown Airport, Newark, NJ (Port)","0106 Animals, Live, Nesoi",210910,,,210910,2830,,
"Morristown Airport, Newark, NJ (Port)","0301 Fish, Live",141344,,,141344,66787,,
"Morristown Airport, Newark, NJ (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",26257,,,26257,22590,,
"Morristown Airport, Newark, NJ (Port)","1805 Cocoa Powder, Not Sweetened",3306,,,3306,448,,
"Morristown Airport, Newark, NJ (Port)",2106 Food Preparations Nesoi,5765,,,5765,780,,
"Morristown Airport, Newark, NJ (Port)",2204 Wine Of Fresh Grapes; Grape Must Nesoi,421869,,,421869,27139,,
"Morristown Airport, Newark, NJ (Port)","4107 Leather Furt Prep Aft Tan/crust, No Hair On,nes",2553,,,2553,240,,
"New York, NY (Port)","0101 Horses, Asses, Mules And Hinnies, Live",121516,121516,25164,,,121516,25164
"New York, NY (Port)","0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live",126000,126000,2504,,,126000,2504
"New York, NY (Port)","0106 Animals, Live, Nesoi",5480,5480,472,,,,
"New York, NY (Port)","0201 Meat Of Bovine Animals, Fresh Or Chilled",79335969,79335969,7955013,,,70522142,6773490
"New York, NY (Port)","0202 Meat Of Bovine Animals, Frozen",31490937,31490937,4009708,,,24378188,3207995
"New York, NY (Port)","0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen",29551129,29551129,13525350,,,17865551,7644541
"New York, NY (Port)","0204 Meat Of Sheep Or Goats, Fresh, Chilled Or Frozen",265931,265931,50441,,,216614,40832
"New York, NY (Port)","0206 Ed Offal, Bovine, Swine, Sheep, Goat, Horse, Etc.",16303807,16303807,10872506,,,12593991,8226788
"New York, NY (Port)","0207 Meat & Ed Offal Of Poultry, Fresh, Chill Or Frozen",25610152,25610152,20651435,,,18329736,13139652
"New York, NY (Port)","0208 Meat & Edible Offal Nesoi, Fresh, Chilld Or Frozen",138950,138950,37867,,,21770,8134
"New York, NY (Port)",0209 Pig/poultry Fat Frsh Chld Frz Salt Brine Dried Smk,145929,145929,168001,,,142929,163437
"New York, NY (Port)","0210 Meat & Ed Offal Salted, Dried Etc. & Flour & Meal",1724898,1724898,505031,,,358830,159293
"New York, NY (Port)","0302 Fish, Fresh Or Chilled (no Fillets Or Other Meat)",3633477,3633477,1179245,,,3193149,787933
"New York, NY (Port)","0303 Fish, Frozen (no Fish Fillets Or Other Fish Meat)",26902070,26902070,12459083,,,15718833,6399929
"New York, NY (Port)","0304 Fish Fillets & Oth Fish Meat, Fresh, Chill Or Froz",7566403,7566403,1440666,,,4383798,1021976
"New York, NY (Port)","0305 Fish, Dried, Salted Etc, Smoked Etc; Ed Fish Meal",707862,707862,214730,,,704679,214448
"New York, NY (Port)",0306 Crustaceans Live Frsh Etc Smoked/cooked Flours Etc,18467886,18467886,1457731,,,16104840,1303697
"New York, NY (Port)",0307 Molluscs Live Fresh Etc; Smoked; Flours Etc Edible,55154735,55154735,10041968,,,26863301,2662449
"New York, NY (Port)",0308 Aquatic Inverteb Live Etc; Smoked; Flour Etc Nesoi,1266310,1266310,116842,,,1266310,116842
"New York, NY (Port)","0401 Milk And Cream, Not Concentrated Or Sweetened",102159,102159,89243,,,102159,89243
"New York, NY (Port)","0402 Milk And Cream, Concentrated Or Sweetened",15405317,15405317,5745459,,,11355215,3976654
"New York, NY (Port)","0403 Buttermilk, Yogurt, Kephir Etc, Flavord Etc Or Not",1297109,1297109,777956,,,365204,137689
"New York, NY (Port)","0404 Whey & Milk Products, Sweetened Etc. Or Not, Nesoi",56652749,56652749,39838870,,,30379323,17341197
"New York, NY (Port)",0405 Butter And Other Fats And Oils Derived From Milk,4401663,4401663,1245873,,,2950069,778812
"New York, NY (Port)",0406 Cheese And Curd,25152757,25152757,6628535,,,20601328,5599052
"New York, NY (Port)","0407 Birds' Eggs, In Shell, Fresh, Preserved Or Cooked",22283370,22283370,16269612,,,22221654,16226612
"New York, NY (Port)","0408 Birds' Eggs, Not In Shell & Yolks, Fresh, Dry, Etc",16399252,16399252,4800786,,,9746245,2699382
"New York, NY (Port)","0409 Honey, Natural",2006200,2006200,728851,,,1919420,693294
"New York, NY (Port)","0410 Edible Products Of Animal Origin, Nesoi",8416,8416,1837,,,,
"New York, NY (Port)",0502 Hogs' Hair Etc; Badger Hair Etc; Waste Hair Etc.,426782,426782,47418,,,28000,544
"New York, NY (Port)","0504 Animal (not Fish) Guts, Bladders, Stomachs & Parts",35988481,35988481,7690516,,,23754382,5576053
"New York, NY (Port)",0505 Bird Skins & Other Feathered Parts And Down,10373162,10373162,2356357,,,6512450,2154203
"New York, NY (Port)","0506 Bones & Horn-cores, Unworked Etc; Powder & Waste",96021,96021,234893,,,22140,66942
"New York, NY (Port)","0508 Coral, Shell Of Molluscs Etc Unworked Powder/waste",1858906,1858906,673002,,,1852810,654758
"New York, NY (Port)","0510 Ambergris, Castoreum Etc; Glands Etc For Pharmacy",2965,2965,1077,,,2965,1077
"New York, NY (Port)","0511 Animal Products Nesoi; Dead Animals, Inedible Etc.",13169913,13169913,1294918,,,11626089,1002499
"New York, NY (Port)","0601 Bulbs, Tubers Etc; Chicory Plants & Roots Nesoi",25050,25050,4997,,,25050,4997
"New York, NY (Port)","0602 Live Plants Nesoi, Cuttings Etc.; Mushroom Spawn",1617043,1617043,1286731,,,672635,617496
"New York, NY (Port)","0603 Cut Flowers & Buds For Bouquets Etc., Prepared",27981,27981,1556,,,12733,980
"New York, NY (Port)","0604 Foliage, Grasses Etc For Bouquets Etc, Prepared",8896,8896,1437,,,8896,1437
"New York, NY (Port)","0701 Potatoes (except Sweet Potatoes), Fresh Or Chilled",107039,107039,100953,,,107039,100953
"New York, NY (Port)","0702 Tomatoes, Fresh Or Chilled",131808,131808,98030,,,131808,98030
"New York, NY (Port)","0703 Onions, Shallots, Garlic, Leeks Etc, Fr Or Chilled",9600,9600,4370,,,9600,4370
"New York, NY (Port)","0704 Cabbages, Cauliflower, Kale Etc, Fresh Or Chilled",4550,4550,6942,,,4550,6942
"New York, NY (Port)","0705 Lettuce And Chicory, Fresh Or Chilled",1912700,1912700,824392,,,1900230,804092
"New York, NY (Port)","0706 Carrots, Turnips & Other Edible Roots, Fr Or Chill",21728,21728,19954,,,21728,19954
"New York, NY (Port)","0708 Leguminous Vegetables, Shelled Or Not, Fr Or Chill",385873,385873,332358,,,373502,326130
"New York, NY (Port)","0709 Vegetables Nesoi, Fresh Or Chilled",914008,914008,604649,,,899408,592698
"New York, NY (Port)","0710 Vegetables (raw Or Cooked By Steam Etc), Frozen",1689212,1689212,1529711,,,605307,505370
"New York, NY (Port)","0711 Vegetables, Temporarily Preserved, Not Now Edible",191324,191324,154099,,,65705,37777
"New York, NY (Port)","0712 Vegetables, Dried, Whole, Cut Etc., No Added Prep",3150433,3150433,912168,,,2328605,742413
"New York, NY (Port)","0713 Leguminous Vegetables, Dried Shelled",26480341,26480341,40044420,,,13478673,23887186
"New York, NY (Port)","0714 Cassava, Arrowroot Etc, Fresh Or Dry; Sago Pith",90246,90246,73171,,,39640,43706
"New York, NY (Port)","0801 Coconuts, Brazil Nuts & Cashew Nuts, Fresh Or Dry",1166923,1166923,308148,,,766182,234915
"New York, NY (Port)","0802 Nuts Nesoi, Fresh Or Dried",6939283,6939283,1571367,,,5871395,1294450
"New York, NY (Port)","0803 Bananas, Including Plantains, Fresh Or Dried",2618764,2618764,1642943,,,2618764,1642943
"New York, NY (Port)","0804 Dates, Figs, Pineapples, Avocados Etc, Fr Or Dried",36199,36199,54983,,,36199,54983
"New York, NY (Port)","0805 Citrus Fruit, Fresh Or Dried",336429,336429,301329,,,140410,64323
"New York, NY (Port)","0806 Grapes, Fresh Or Dried",1504894,1504894,665854,,,1423774,635372
"New York, NY (Port)","0807 Melons And Papayas, Fresh",39571,39571,56228,,,39571,56228
"New York, NY (Port)","0808 Apples, Pears And Quinces, Fresh",8426597,8426597,7093444,,,6848262,5852379
"New York, NY (Port)","0809 Apricots, Cherries, Peaches, Plums & Sloes, Fresh",9409617,9409617,2383610,,,9409617,2383610
"New York, NY (Port)","0810 Fruit Nesoi, Fresh",3596873,3596873,1605476,,,3246305,1483653
"New York, NY (Port)","0811 Fruit & Nuts (raw Or Cooked By Steam Etc), Frozen",3230349,3230349,1472788,,,1821719,812923
"New York, NY (Port)","0812 Fruit & Nuts Temporarily Preserved, Not Now Edible",312039,312039,332796,,,312039,332796
"New York, NY (Port)",0813 Fruit Dried Nesoi; Mixtures Of Nuts Or Dried Fruit,8805818,8805818,2416305,,,6757619,1847108
"New York, NY (Port)","0814 Peel, Citrus Or Melon, Frsh/frzn/dried/provsl Pres",13468,13468,5442,,,,
"New York, NY (Port)",0901 Coffee; Coffee Husks Etc; Substitutes With Coffee,9283081,9283081,1393853,,,7073485,856707
"New York, NY (Port)","0902 Tea, Whether Or Not Flavored",5562103,5562103,1431088,,,2111494,635877
"New York, NY (Port)","0904 Pepper, Genus Piper; Genus Capsicum Or Pimenta",2363269,2363269,777411,,,1936933,692668
"New York, NY (Port)",0905 Vanilla,1358039,1358039,67487,,,726433,34615
"New York, NY (Port)",0906 Cinnamon And Cinnamon-tree Flowers,130868,130868,48017,,,123220,46353
"New York, NY (Port)","0907 Cloves (whole Fruit, Cloves And Stems)",48558,48558,10782,,,48558,10782
"New York, NY (Port)","0908 Nutmeg, Mace And Cardamoms",363797,363797,38134,,,71607,8288
"New York, NY (Port)",0909 Seeds Anise Badian Fennl Coriandr Etc; Junpr Berrs,305330,305330,107861,,,199064,77639
"New York, NY (Port)","0910 Ginger, Saffron, Tumeric, Thyme, Bay Leaves Etc.",4972142,4972142,1131748,,,4318063,952991
"New York, NY (Port)",1001 Wheat And Meslin,1400645,1400645,3100659,,,1067779,2281701
"New York, NY (Port)",1004 Oats,83957,83957,87007,,,,
"New York, NY (Port)",1005 Corn (maize),19868315,19868315,30006224,,,10180847,23489364
"New York, NY (Port)",1006 Rice,1508324,1508324,1137603,,,1238082,975660
"New York, NY (Port)",1007 Grain Sorghum,76962,76962,393500,,,76962,393500
"New York, NY (Port)","1008 Buckwheat, Millet And Canary Seeds; Other Cereals",2187966,2187966,970181,,,1394259,643764
"New York, NY (Port)",1101 Wheat Or Meslin Flour,2378723,2378723,1871825,,,686517,498159
"New York, NY (Port)","1102 Cereal Flours, Except Of Wheat Or Of Meslin",3146859,3146859,3942505,,,1531481,1782140
"New York, NY (Port)","1103 Cereal Groats, Meal And Pellets",4799341,4799341,9847240,,,2746654,4499933
"New York, NY (Port)","1104 Cereal Grains, Worked Etc Nesoi; Cereal Germs, Wrk",2766520,2766520,4630666,,,2257022,3805627
"New York, NY (Port)","1105 Flour, Meal Flakes, Granules & Pellets Of Potatoes",1156552,1156552,1112533,,,207706,182382
"New York, NY (Port)","1106 Flour & Meal Of Dry, Legum Vegs, Sago, Fruit Etc.",5647906,5647906,3099872,,,4624476,2405691
"New York, NY (Port)","1107 Malt, Whether Or Not Roasted",27323,27323,37407,,,27323,37407
"New York, NY (Port)",1108 Starches; Inulin,10574351,10574351,14521441,,,9895081,14028206
"New York, NY (Port)","1109 Wheat Gluten, Whether Or Not Dried",822477,822477,644940,,,447488,340006
"New York, NY (Port)","1201 Soybeans, Whether Or Not Broken",131969043,131969043,234714360,,,127025645,225196735
